figure_file,figure_id,panel_id,source_export_id,source_file,rows_used_or_array_keys,metric,dataset,hemisphere,value_scale,generated_by_script,generated_at,notes
fig3\publication_network_dz_inflated.pdf,PUB_NETWORK_DZ_INFLATED,inflated_spiral_count_per_network_px_DMT,EXP008_V2,02_exports/network_spiral_metrics_v2/paired_ttest_raw_summary.csv,14,spiral_count_per_network_px,DMT,left;right,Cohen's dz,plot_network_dz_brain_maps.py,2026-06-21T17:38:28.606273+00:00,Schaefer 400 parcels mapped to 7-network dz on fsLR-32k inflated surface with directional lighting; medial wall retained
fig3\publication_network_dz_inflated.pdf,PUB_NETWORK_DZ_INFLATED,inflated_spiral_count_per_network_px_LSD,EXP008_V2,02_exports/network_spiral_metrics_v2/paired_ttest_raw_summary.csv,14,spiral_count_per_network_px,LSD,left;right,Cohen's dz,plot_network_dz_brain_maps.py,2026-06-21T17:38:28.606273+00:00,Schaefer 400 parcels mapped to 7-network dz on fsLR-32k inflated surface with directional lighting; medial wall retained
fig3\publication_network_dz_inflated.pdf,PUB_NETWORK_DZ_INFLATED,inflated_mean_spiral_size_DMT,EXP008_V2,02_exports/network_spiral_metrics_v2/paired_ttest_raw_summary.csv,14,mean_spiral_size,DMT,left;right,Cohen's dz,plot_network_dz_brain_maps.py,2026-06-21T17:38:28.606273+00:00,Schaefer 400 parcels mapped to 7-network dz on fsLR-32k inflated surface with directional lighting; medial wall retained
fig3\publication_network_dz_inflated.pdf,PUB_NETWORK_DZ_INFLATED,inflated_mean_spiral_size_LSD,EXP008_V2,02_exports/network_spiral_metrics_v2/paired_ttest_raw_summary.csv,14,mean_spiral_size,LSD,left;right,Cohen's dz,plot_network_dz_brain_maps.py,2026-06-21T17:38:28.606273+00:00,Schaefer 400 parcels mapped to 7-network dz on fsLR-32k inflated surface with directional lighting; medial wall retained
fig3\publication_network_standardized_difference_spiral_count_and_size.pdf,PUB_NETWORK_STANDARDIZED_DIFFERENCE,spiral_count_per_network_px,EXP008_V2,02_exports/network_spiral_metrics_v2/subject_standardized_difference_long.csv,476,spiral_count_per_network_px,DMT;LSD,left;right,(Drug - PCB) / paired PCB SD,plot_network_standardized_difference.py,2026-06-21T17:42:42.047579+00:00,Two continuous spiral-metric rows with vertical distributions across seven aliased network x positions; DMT red; LSD blue; left solid/left side; right dashed/right side
fig3\publication_network_standardized_difference_spiral_count_and_size.pdf,PUB_NETWORK_STANDARDIZED_DIFFERENCE,mean_spiral_size,EXP008_V2,02_exports/network_spiral_metrics_v2/subject_standardized_difference_long.csv,476,mean_spiral_size,DMT;LSD,left;right,(Drug - PCB) / paired PCB SD,plot_network_standardized_difference.py,2026-06-21T17:42:42.047579+00:00,Two continuous spiral-metric rows with vertical distributions across seven aliased network x positions; DMT red; LSD blue; left solid/left side; right dashed/right side
fig3\publication_network_standardized_difference_legend.pdf,PUB_NETWORK_STANDARDIZED_DIFFERENCE_LEGEND,legend,EXP008_V2,02_exports/network_spiral_metrics_v2/subject_standardized_difference_long.csv,0,legend,DMT;LSD,left;right,native,plot_network_standardized_difference.py,2026-06-21T17:42:43.532390+00:00,standalone legend for network standardized-difference panels
fig6\cai_paired_difference_polar.pdf,FIG_CAI_PAIRED_DIFFERENCE_POLAR,cai_paired_difference_DMT_left,EXP017,02_exports/cai_polar/angle_distributions/exp017_paired_bin_statistics.csv,72,paired CAI angular probability difference,DMT,left,absolute Drug-minus-PCB probability difference x10^-4; color encodes sign,plot_cai_paired_difference_polar.py,2026-06-24T13:15:11.514695+00:00,3-bin circular smoothing and periodic interpolation to 288 display bins; colored outline follows difference sign.
fig6\cai_paired_difference_polar.pdf,FIG_CAI_PAIRED_DIFFERENCE_POLAR,cai_absolute_reference_contours_DMT_left,EXP017,02_exports/cai_polar/angle_distributions/exp017_subject_angle_histograms.npz,subject_density rows=0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39,PCB-scaled absolute-probability reference contours,DMT,left,PCB-normalized outer reference band with Drug-minus-PCB separation amplified 2.5x relative to the PCB span; not the difference radial scale,plot_cai_paired_difference_polar.py,2026-06-24T13:15:11.514695+00:00,PCB gray dashed and normalized to a common display height; Drug uses study color and is displaced from PCB in proportion to the native local Drug-minus-PCB difference.
fig6\cai_paired_difference_polar.pdf,FIG_CAI_PAIRED_DIFFERENCE_POLAR,cai_paired_difference_DMT_right,EXP017,02_exports/cai_polar/angle_distributions/exp017_paired_bin_statistics.csv,72,paired CAI angular probability difference,DMT,right,absolute Drug-minus-PCB probability difference x10^-4; color encodes sign,plot_cai_paired_difference_polar.py,2026-06-24T13:15:11.514695+00:00,3-bin circular smoothing and periodic interpolation to 288 display bins; colored outline follows difference sign.
