export_id,script_family_id,computed_quantity,data_granularity,output_file,sidecar_file,format,row_count,array_count,shape_summary,dataset,condition_scope,hemisphere_scope,network_scope,old_script_path,new_export_script,old_reference_outputs,validation_status,notes
EXP001,all_metrics_runner,pattern_stats_subject,subject_level,02_exports\all_metrics_runner\subject_level\exp001_pattern_stats_subject.csv,02_exports\all_metrics_runner\subject_level\exp001_pattern_stats_subject.csv.metadata.json,csv,140,0,140 rows x 14 columns,DMT;LSD,preserved_from_source,preserved_from_source,preserved_from_source,<source_analysis>\all_metrics\runner.py,export_scripts\run_level1_exports.py,<analysis_outputs>\all_metrics\dmt-run\pattern_stats\per_subject.csv;<analysis_outputs>\all_metrics\lsd-run\pattern_stats\per_subject.csv,pass,
EXP002,all_metrics_runner,pattern_dynamics,frame_or_pattern_level,02_exports\all_metrics_runner\frame_or_pattern_level\exp002_pattern_dynamics.parquet,02_exports\all_metrics_runner\frame_or_pattern_level\exp002_pattern_dynamics.parquet.metadata.json,parquet,269908,0,269908 rows x 17 columns,DMT;LSD,preserved_from_source,preserved_from_source,preserved_from_source,<source_analysis>\all_metrics\runner.py,export_scripts\run_level1_exports.py,<analysis_outputs>\all_metrics\dmt-run\pattern_dynamics\per_pattern.csv;<analysis_outputs>\all_metrics\lsd-run\pattern_dynamics\per_pattern.csv,pass,
EXP002,all_metrics_runner,pattern_dynamics_msd,frame_or_pattern_level,02_exports\all_metrics_runner\frame_or_pattern_level\exp002_pattern_dynamics_msd.parquet,02_exports\all_metrics_runner\frame_or_pattern_level\exp002_pattern_dynamics_msd.parquet.metadata.json,parquet,250829,0,250829 rows x 30 columns,DMT;LSD,preserved_from_source,preserved_from_source,preserved_from_source,<source_analysis>\all_metrics\runner.py,export_scripts\run_level1_exports.py,<analysis_outputs>\all_metrics\dmt-run\pattern_dynamics\per_pattern_msd.csv;<analysis_outputs>\all_metrics\lsd-run\pattern_dynamics\per_pattern_msd.csv,pass,
EXP006,gipr,gipr_subject,subject_level,02_exports\gipr\subject_level\exp006_gipr_subject.csv,02_exports\gipr\subject_level\exp006_gipr_subject.csv.metadata.json,csv,140,0,140 rows x 11 columns,DMT;LSD,preserved_from_source,preserved_from_source,preserved_from_source,<source_analysis>\added_analysis\GIPR\gipr.py,export_scripts\run_level1_exports.py,<analysis_outputs>\added_analysis\GIPR\dmt_vs_pcb_run\per_subject.csv;<analysis_outputs>\added_analysis\GIPR\lsd_vs_pcb_run\per_subject.csv,pass,
EXP008,network_spiral_metrics,subject_network_metrics_wide,network_level,02_exports\network_spiral_metrics\network_level\exp008_subject_network_metrics_wide.csv,02_exports\network_spiral_metrics\network_level\exp008_subject_network_metrics_wide.csv.metadata.json,csv,980,0,980 rows x 25 columns,DMT;LSD,preserved_from_source,preserved_from_source,preserved_from_source,<source_analysis>\phase_fc_group\network_spiral_metrics.py,export_scripts\run_level1_exports.py,<analysis_outputs>\phase_fc_group\network_spiral_metrics\subject_network_metrics_wide.csv;<analysis_outputs>\phase_fc_group\network_spiral_metrics_LSD\subject_network_metrics_wide.csv,pass,
EXP008,network_spiral_metrics,subject_network_metrics_long,network_level,02_exports\network_spiral_metrics\network_level\exp008_subject_network_metrics_long.csv,02_exports\network_spiral_metrics\network_level\exp008_subject_network_metrics_long.csv.metadata.json,csv,8820,0,8820 rows x 15 columns,DMT;LSD,preserved_from_source,preserved_from_source,preserved_from_source,<source_analysis>\phase_fc_group\network_spiral_metrics.py,export_scripts\run_level1_exports.py,<analysis_outputs>\phase_fc_group\network_spiral_metrics\subject_network_metrics_long.csv;<analysis_outputs>\phase_fc_group\network_spiral_metrics_LSD\subject_network_metrics_long.csv,pass,
EXP008,network_spiral_metrics,paired_deltas_long,network_level,02_exports\network_spiral_metrics\network_level\exp008_paired_deltas_long.csv,02_exports\network_spiral_metrics\network_level\exp008_paired_deltas_long.csv.metadata.json,csv,4284,0,4284 rows x 12 columns,DMT;LSD,preserved_from_source,preserved_from_source,preserved_from_source,<source_analysis>\phase_fc_group\network_spiral_metrics.py,export_scripts\run_level1_exports.py,<analysis_outputs>\phase_fc_group\network_spiral_metrics\paired_deltas_long.csv;<analysis_outputs>\phase_fc_group\network_spiral_metrics_LSD\paired_deltas_long.csv,pass,
EXP010,path_entropy,path_entropy_subject,subject_level,02_exports\path_entropy\subject_level\exp010_path_entropy_subject.csv,02_exports\path_entropy\subject_level\exp010_path_entropy_subject.csv.metadata.json,csv,210,0,210 rows x 14 columns,DMT;LSD,preserved_from_source,preserved_from_source,preserved_from_source,<source_analysis>\path_entropy_paired.py,export_scripts\run_level1_exports.py,<analysis_outputs>\path_entropy\dmt_vs_pcb\per_subject_with_whole.csv;<analysis_outputs>\path_entropy\lsd_vs_pcb\per_subject_with_whole.csv,pass,
EXP010,path_entropy,path_entropy_paired_deltas,subject_level,02_exports\path_entropy\subject_level\exp010_path_entropy_paired_deltas.csv,02_exports\path_entropy\subject_level\exp010_path_entropy_paired_deltas.csv.metadata.json,csv,714,0,714 rows x 11 columns,DMT;LSD,preserved_from_source,preserved_from_source,preserved_from_source,<source_analysis>\path_entropy_paired.py,export_scripts\run_level1_exports.py,<analysis_outputs>\path_entropy\dmt_vs_pcb\paired_deltas.csv;<analysis_outputs>\path_entropy\lsd_vs_pcb\paired_deltas.csv,pass,
EXP012,pattern_msd_beta,per_pattern_msd_beta,frame_or_pattern_level,02_exports\pattern_msd_beta\frame_or_pattern_level\exp012_per_pattern_msd_beta.parquet,02_exports\pattern_msd_beta\frame_or_pattern_level\exp012_per_pattern_msd_beta.parquet.metadata.json,parquet,21758,0,21758 rows x 28 columns,DMT;LSD,preserved_from_source,preserved_from_source,preserved_from_source,<source_analysis>\pattern_msd_beta_group.py,export_scripts\run_level1_exports.py,<analysis_outputs>\pattern_msd_beta\dmt\per_pattern_msd_beta.csv;<analysis_outputs>\pattern_msd_beta\lsd\per_pattern_msd_beta.csv,pass,
EXP012,pattern_msd_beta,per_subject_msd_beta,subject_level,02_exports\pattern_msd_beta\subject_level\exp012_per_subject_msd_beta.csv,02_exports\pattern_msd_beta\subject_level\exp012_per_subject_msd_beta.csv.metadata.json,csv,140,0,140 rows x 13 columns,DMT;LSD,preserved_from_source,preserved_from_source,preserved_from_source,<source_analysis>\pattern_msd_beta_group.py,export_scripts\run_level1_exports.py,<analysis_outputs>\pattern_msd_beta\dmt_group\per_subject_msd_beta.csv;<analysis_outputs>\pattern_msd_beta\lsd_group\per_subject_msd_beta.csv,pass,
EXP013,phase_ngsc_recon_corr,parcel_fc_correlation_points,model_correlation,02_exports\phase_ngsc_recon_corr\model_correlation\exp013_parcel_fc_correlation_points.csv,02_exports\phase_ngsc_recon_corr\model_correlation\exp013_parcel_fc_correlation_points.csv.metadata.json,csv,84,0,84 rows x 15 columns,all,preserved_from_source,preserved_from_source,preserved_from_source,<source_analysis>\phase_fc_group\recon_parcel_fc_correlations.py,export_scripts\run_level1_exports.py,<analysis_outputs>\phase_fc_group\recon_parcel_fc_correlations\per_condition_subject_parcel_fc_correlations.csv,pass,
EXP013,phase_ngsc_recon_corr,true_fc_correlation_points,model_correlation,02_exports\phase_ngsc_recon_corr\model_correlation\exp013_true_fc_correlation_points.csv,02_exports\phase_ngsc_recon_corr\model_correlation\exp013_true_fc_correlation_points.csv.metadata.json,csv,168,0,168 rows x 16 columns,all,preserved_from_source,preserved_from_source,preserved_from_source,<source_analysis>\phase_fc_group\recon_parcel_fc_correlations.py,export_scripts\run_level1_exports.py,<analysis_outputs>\phase_fc_group\recon_parcel_fc_correlations\per_condition_subject_true_fc_correlations.csv,pass,
EXP013,phase_ngsc_recon_corr,mean_delta_parcel_fc_correlations,model_correlation,02_exports\phase_ngsc_recon_corr\model_correlation\exp013_mean_delta_parcel_fc_correlations.csv,02_exports\phase_ngsc_recon_corr\model_correlation\exp013_mean_delta_parcel_fc_correlations.csv.metadata.json,csv,2,0,2 rows x 17 columns,all,preserved_from_source,preserved_from_source,preserved_from_source,<source_analysis>\phase_fc_group\recon_parcel_fc_correlations.py,export_scripts\run_level1_exports.py,<analysis_outputs>\phase_fc_group\recon_parcel_fc_correlations\mean_delta_parcel_fc_correlations.csv,pass,
EXP014,phase_recon_wbfc,original_recon_joined_values_z,model_correlation,02_exports\phase_recon_wbfc\model_correlation\exp014_original_recon_joined_values_z.csv,02_exports\phase_recon_wbfc\model_correlation\exp014_original_recon_joined_values_z.csv.metadata.json,csv,1836,0,1836 rows x 21 columns,all,preserved_from_source,preserved_from_source,preserved_from_source,<source_analysis>\phase_fc_group\phase_recon_edge_weighted_wbfc_delta.py,export_scripts\run_level1_exports.py,<analysis_outputs>\phase_fc_group\phase_recon_edge_weighted_wbfc_delta_v3\original_recon_joined_values_z.csv,pass,
EXP014,phase_recon_wbfc,subject_condition_values_z,model_correlation,02_exports\phase_recon_wbfc\model_correlation\exp014_subject_condition_values_z.csv,02_exports\phase_recon_wbfc\model_correlation\exp014_subject_condition_values_z.csv.metadata.json,csv,2448,0,2448 rows x 16 columns,all,preserved_from_source,preserved_from_source,preserved_from_source,<source_analysis>\phase_fc_group\phase_recon_edge_weighted_wbfc_delta.py,export_scripts\run_level1_exports.py,<analysis_outputs>\phase_fc_group\phase_recon_edge_weighted_wbfc_delta_v3\subject_condition_values_z.csv,pass,
EXP014,phase_recon_wbfc,subject_drug_placebo_delta_values_z,model_correlation,02_exports\phase_recon_wbfc\model_correlation\exp014_subject_drug_placebo_delta_values_z.csv,02_exports\phase_recon_wbfc\model_correlation\exp014_subject_drug_placebo_delta_values_z.csv.metadata.json,csv,3672,0,3672 rows x 17 columns,all,preserved_from_source,preserved_from_source,preserved_from_source,<source_analysis>\phase_fc_group\phase_recon_edge_weighted_wbfc_delta.py,export_scripts\run_level1_exports.py,<analysis_outputs>\phase_fc_group\phase_recon_edge_weighted_wbfc_delta_v3\subject_drug_placebo_delta_values_z.csv,pass,
EXP016,cai_model_delta,subject_condition_metrics,model_correlation,02_exports\cai_model_delta\model_correlation\exp016_subject_condition_metrics.csv,02_exports\cai_model_delta\model_correlation\exp016_subject_condition_metrics.csv.metadata.json,csv,272,0,272 rows x 36 columns,all,preserved_from_source,preserved_from_source,preserved_from_source,<source_analysis>\added_analysis\SVD-CAI-model-delta-corr\svd_cai_model_delta_corr.py,export_scripts\run_level1_exports.py,<analysis_outputs>\added_analysis\SVD-CAI-model-delta-corr\subject_condition_metrics.csv,pass,
EXP016,cai_model_delta,subject_condition_values_long,model_correlation,02_exports\cai_model_delta\model_correlation\exp016_subject_condition_values_long.csv,02_exports\cai_model_delta\model_correlation\exp016_subject_condition_values_long.csv.metadata.json,csv,3536,0,3536 rows x 12 columns,all,preserved_from_source,preserved_from_source,preserved_from_source,<source_analysis>\added_analysis\SVD-CAI-model-delta-corr\svd_cai_model_delta_corr.py,export_scripts\run_level1_exports.py,<analysis_outputs>\added_analysis\SVD-CAI-model-delta-corr\subject_condition_values_long.csv,pass,
EXP016,cai_model_delta,empirical_model_joined_values,model_correlation,02_exports\cai_model_delta\model_correlation\exp016_empirical_model_joined_values.csv,02_exports\cai_model_delta\model_correlation\exp016_empirical_model_joined_values.csv.metadata.json,csv,2652,0,2652 rows x 13 columns,all,preserved_from_source,preserved_from_source,preserved_from_source,<source_analysis>\added_analysis\SVD-CAI-model-delta-corr\svd_cai_model_delta_corr.py,export_scripts\run_level1_exports.py,<analysis_outputs>\added_analysis\SVD-CAI-model-delta-corr\empirical_model_joined_values.csv,pass,
EXP018,dfr,per_condition_subject_dfr,model_correlation,02_exports\dfr\model_correlation\exp018_per_condition_subject_dfr.csv,02_exports\dfr\model_correlation\exp018_per_condition_subject_dfr.csv.metadata.json,csv,280,0,280 rows x 29 columns,all,preserved_from_source,preserved_from_source,preserved_from_source,<source_analysis>\dfr_analysis\run_dfr.py,export_scripts\run_level1_exports.py,<analysis_outputs>\dfr_analysis\per_condition_subject_dfr.csv,pass,
EXP018,dfr,per_subject_dfr_drug_minus_pcb_delta,model_correlation,02_exports\dfr\model_correlation\exp018_per_subject_dfr_drug_minus_pcb_delta.csv,02_exports\dfr\model_correlation\exp018_per_subject_dfr_drug_minus_pcb_delta.csv.metadata.json,csv,136,0,136 rows x 11 columns,all,preserved_from_source,preserved_from_source,preserved_from_source,<source_analysis>\dfr_analysis\run_dfr.py,export_scripts\run_level1_exports.py,<analysis_outputs>\dfr_analysis\per_subject_dfr_drug_minus_pcb_delta.csv,pass,
EXP018,dfr,empirical_recon_dfr_delta_correlations,model_correlation,02_exports\dfr\model_correlation\exp018_empirical_recon_dfr_delta_correlations.csv,02_exports\dfr\model_correlation\exp018_empirical_recon_dfr_delta_correlations.csv.metadata.json,csv,8,0,8 rows x 26 columns,all,preserved_from_source,preserved_from_source,preserved_from_source,<source_analysis>\dfr_analysis\run_dfr.py,export_scripts\run_level1_exports.py,<analysis_outputs>\dfr_analysis\empirical_recon_dfr_delta_correlations.csv,pass,
EXP018,dfr,dfr_spiral_delta_correlations,model_correlation,02_exports\dfr\model_correlation\exp018_dfr_spiral_delta_correlations.csv,02_exports\dfr\model_correlation\exp018_dfr_spiral_delta_correlations.csv.metadata.json,csv,64,0,64 rows x 27 columns,all,preserved_from_source,preserved_from_source,preserved_from_source,<source_analysis>\dfr_analysis\run_dfr.py,export_scripts\run_level1_exports.py,<analysis_outputs>\dfr_analysis\dfr_spiral_delta_correlations.csv,pass,
EXP018,dfr,dfr_network_boundary_distance,model_correlation,02_exports\dfr\model_correlation\exp018_dfr_network_boundary_distance.csv,02_exports\dfr\model_correlation\exp018_dfr_network_boundary_distance.csv.metadata.json,csv,280,0,280 rows x 69 columns,all,preserved_from_source,preserved_from_source,preserved_from_source,<source_analysis>\dfr_analysis\run_dfr.py,export_scripts\run_level1_exports.py,<analysis_outputs>\dfr_analysis\dfr_network_boundary_distance.csv,pass,
EXP018,dfr,dfr_network_boundary_overlap,model_correlation,02_exports\dfr\model_correlation\exp018_dfr_network_boundary_overlap.csv,02_exports\dfr\model_correlation\exp018_dfr_network_boundary_overlap.csv.metadata.json,csv,280,0,280 rows x 40 columns,all,preserved_from_source,preserved_from_source,preserved_from_source,<source_analysis>\dfr_analysis\run_dfr.py,export_scripts\run_level1_exports.py,<analysis_outputs>\dfr_analysis\dfr_network_boundary_overlap.csv,pass,
EXP018,dfr,dfr_spiral_boundary_overlap,model_correlation,02_exports\dfr\model_correlation\exp018_dfr_spiral_boundary_overlap.csv,02_exports\dfr\model_correlation\exp018_dfr_spiral_boundary_overlap.csv.metadata.json,csv,140,0,140 rows x 82 columns,all,preserved_from_source,preserved_from_source,preserved_from_source,<source_analysis>\dfr_analysis\run_dfr.py,export_scripts\run_level1_exports.py,<analysis_outputs>\dfr_analysis\dfr_spiral_boundary_overlap.csv,pass,
EXP020,gcor,gcor_subject,subject_level,02_exports\gcor\subject_level\exp020_gcor_subject.csv,02_exports\gcor\subject_level\exp020_gcor_subject.csv.metadata.json,csv,140,0,140 rows x 8 columns,DMT;LSD,preserved_from_source,preserved_from_source,preserved_from_source,<source_analysis>\all_metrics\run_gcor_all_metrics.py,export_scripts\run_level1_exports.py,<analysis_outputs>\all_metrics_gcor\gcor_group_stats_dmt\gcor\subject_metrics.csv;<analysis_outputs>\all_metrics_gcor\gcor_group_stats_lsd\gcor\subject_metrics.csv,pass,
EXP001,all_metrics_runner,pattern_stats_summary,summary_validation,02_exports\all_metrics_runner\summary_validation\exp001_pattern_stats_summary.csv,02_exports\all_metrics_runner\summary_validation\exp001_pattern_stats_summary.csv.metadata.json,csv,252,0,252 rows x 30 columns,DMT;LSD,preserved_from_source,preserved_from_source,preserved_from_source,<source_analysis>\all_metrics\runner.py,export_scripts\run_level1_exports.py,<analysis_outputs>\all_metrics\dmt-run\pattern_stats\group_summary.csv;<analysis_outputs>\all_metrics\lsd-run\pattern_stats\group_summary.csv,pass,
EXP006,gipr,gipr_summary,summary_validation,02_exports\gipr\summary_validation\exp006_gipr_summary.csv,02_exports\gipr\summary_validation\exp006_gipr_summary.csv.metadata.json,csv,42,0,42 rows x 30 columns,DMT;LSD,preserved_from_source,preserved_from_source,preserved_from_source,<source_analysis>\added_analysis\GIPR\gipr.py,export_scripts\run_level1_exports.py,<analysis_outputs>\added_analysis\GIPR\dmt_vs_pcb_run\group_summary.csv;<analysis_outputs>\added_analysis\GIPR\lsd_vs_pcb_run\group_summary.csv,pass,
EXP008,network_spiral_metrics,network_paired_ttest_summary,summary_validation,02_exports\network_spiral_metrics\summary_validation\exp008_network_paired_ttest_summary.csv,02_exports\network_spiral_metrics\summary_validation\exp008_network_paired_ttest_summary.csv.metadata.json,csv,252,0,252 rows x 18 columns,DMT;LSD,preserved_from_source,preserved_from_source,preserved_from_source,<source_analysis>\phase_fc_group\network_spiral_metrics.py,export_scripts\run_level1_exports.py,<analysis_outputs>\phase_fc_group\network_spiral_metrics\paired_ttest_summary.csv;<analysis_outputs>\phase_fc_group\network_spiral_metrics_LSD\paired_ttest_summary.csv,pass,
EXP010,path_entropy,path_entropy_summary,summary_validation,02_exports\path_entropy\summary_validation\exp010_path_entropy_summary.csv,02_exports\path_entropy\summary_validation\exp010_path_entropy_summary.csv.metadata.json,csv,294,0,294 rows x 30 columns,DMT;LSD,preserved_from_source,preserved_from_source,preserved_from_source,<source_analysis>\path_entropy_paired.py,export_scripts\run_level1_exports.py,<analysis_outputs>\path_entropy\dmt_vs_pcb\group_summary.csv;<analysis_outputs>\path_entropy\lsd_vs_pcb\group_summary.csv,pass,
